Species	Br	Bd	Bd^2
Atelerix_algirus	0.505149978	2.897627091	8.396242758
Blarina_brevicauda	-0.53945294	1.247973266	1.557437273
Condylura_cristata	0.136720567	1.698970004	2.886499074
Crocidura_fuscomurina	-0.886056648	0.748188027	0.559785324
Crocidura_olivieri	-0.357	1.447	2.093809
Crocidura_russula	-0.721246399	1.01911629	1.038598013
Cryptotis_parva	-0.920818754	0.72427587	0.524575536
Desmana_moschata	0.602059991	2.643452676	6.98784205
Erinaceus_europaeus	0.564127838	2.857595625	8.165852756
Galemys_pyrenaicus	0.123851641	1.759667845	3.096430925
Hemiechinus_auritus	0.278753601	2.397940009	5.750116287
Neomys_fodiens	-0.515700161	1.213517757	1.472625347
Neurotrichus_gibbsii	-0.040958608	1	1
Notiosorex_crawfordi	-0.823908741	0.77815125	0.605519368
Scalopus_aquaticus	0.170261715	1.597695186	2.552629907
Scapanus_townsendii	0.305351369	1.84509804	3.404386777
Solenodon_paradoxus	0.669316881	2.954242509	8.727548802
Sorex_araneus	-0.647817482	0.949390007	0.901341385
Sorex_arcticus	-0.568636236	0.913813852	0.835055756
Sorex_cinereus	-0.769551079	0.591064607	0.34935737
Sorex_fumeus	-0.677780705	0.949390007	0.901341385
Sorex_hoyi	-1.029188389	0.484299839	0.234546334
Sorex_minutus	-0.886056648	0.662757832	0.439247944
Sorex_monticolus	-0.638272164	0.799340549	0.638945313
Sorex_ornatus	-0.920818754	0.698970004	0.488559066
Sorex_palustris	-0.508638306	1.075546961	1.156801265
Sorex_trowbridgii	-0.677780705	0.72427587	0.524575536
Sorex_vagrans	-0.769551079	0.72427587	0.524575536
Suncus_etruscus	-1.148741651	0.350248018	0.122673674
Suncus_murinus	-0.408935393	1.544068044	2.384146125
Talpa_europaea	0.147160841	1.89116563	3.57650744
